Account,Row Type,Campaign,Campaign Type,Campaign Status,Budget,Budget type,Bid Strategy Type,Networks,Languages,Location,Location options,Tracking template,Final URL suffix,Ad Group,Ad Group Status,Maximum CPC bid limit,Keyword,Criterion Type,Keyword Status,Ad Status,Ad type,Final URL,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Link Text,Description Line 1,Description Line 2,Callout text,Header,Snippet Values,Negative,Comment
496-715-1855,Campaign,VC_US_S_QUIZ,Search,Paused,40,Daily,Maximize Clicks,Google Search,en,United States,Presence,{lpurl},utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword}&utm_matchtype={matchtype}&utm_device={device}&lp_version=stage1-v8,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quiz LP test stage1-v8 · Paused · Brand deferred · Final URL=/us/quiz or /au/quiz · Enable only when George says
496-715-1855,Ad group,VC_US_S_QUIZ,Search,Paused,,,,Google Search,,,Presence,,,What_Kind_Of_VA,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quiz AG · cloned themes from VC_*_S_CORE / Hire_VA_PH exploratory shape · Exact · Paused
496-715-1855,Keyword,VC_US_S_QUIZ,Search,Paused,,,,Google Search,,,Presence,,,What_Kind_Of_VA,,,what kind of virtual assistant do i need,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quiz Exact · cloned employer-intent theme · Paused until Enable
496-715-1855,Keyword,VC_US_S_QUIZ,Search,Paused,,,,Google Search,,,Presence,,,What_Kind_Of_VA,,,what type of virtual assistant do i need,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quiz Exact · cloned employer-intent theme · Paused until Enable
496-715-1855,Keyword,VC_US_S_QUIZ,Search,Paused,,,,Google Search,,,Presence,,,What_Kind_Of_VA,,,what virtual assistant do i need,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quiz Exact · cloned employer-intent theme · Paused until Enable
496-715-1855,Keyword,VC_US_S_QUIZ,Search,Paused,,,,Google Search,,,Presence,,,What_Kind_Of_VA,,,what va do i need,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quiz Exact · cloned employer-intent theme · Paused until Enable
496-715-1855,Keyword,VC_US_S_QUIZ,Search,Paused,,,,Google Search,,,Presence,,,What_Kind_Of_VA,,,which virtual assistant do i need,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quiz Exact · cloned employer-intent theme · Paused until Enable
496-715-1855,Keyword,VC_US_S_QUIZ,Search,Paused,,,,Google Search,,,Presence,,,What_Kind_Of_VA,,,types of virtual assistants,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quiz Exact · cloned employer-intent theme · Paused until Enable
496-715-1855,Keyword,VC_US_S_QUIZ,Search,Paused,,,,Google Search,,,Presence,,,What_Kind_Of_VA,,,kinds of virtual assistants,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quiz Exact · cloned employer-intent theme · Paused until Enable
496-715-1855,Keyword,VC_US_S_QUIZ,Search,Paused,,,,Google Search,,,Presence,,,What_Kind_Of_VA,,,virtual assistant quiz,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quiz Exact · cloned employer-intent theme · Paused until Enable
