Account,Row Type,Campaign,Campaign Type,Campaign Status,Budget,Budget type,Bid Strategy Type,Networks,Languages,Location,Location options,Tracking template,Final URL suffix,Ad Group,Ad Group Status,Maximum CPC bid limit,Keyword,Criterion Type,Keyword Status,Ad Status,Ad type,Final URL,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Link Text,Description Line 1,Description Line 2,Callout text,Header,Snippet Values,Negative,Comment
496-715-1855,Ad group,VC_US_S_ROLES,Search,,,Daily,Maximize Clicks,Google Search,,,Presence,,,Social_Media_VA_PH,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Social/Marketing VA expansion 2026-08-19 · NEW paused AG · do not edit Social_Media_Hire_PH or Digital_Marketing_Hire_PH · Final URL = live category LP (preview slug not an Ads destination)
496-715-1855,Keyword,VC_US_S_ROLES,Search,,,Daily,Maximize Clicks,Google Search,,,Presence,,,Social_Media_VA_PH,,,social media va,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Social/Marketing VA expansion 2026-08-19 · NEW paused AG · do not edit Social_Media_Hire_PH or Digital_Marketing_Hire_PH · Final URL = live category LP (preview slug not an Ads destination)
496-715-1855,Keyword,VC_US_S_ROLES,Search,,,Daily,Maximize Clicks,Google Search,,,Presence,,,Social_Media_VA_PH,,,social media virtual assistant,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Social/Marketing VA expansion 2026-08-19 · NEW paused AG · do not edit Social_Media_Hire_PH or Digital_Marketing_Hire_PH · Final URL = live category LP (preview slug not an Ads destination)
496-715-1855,Keyword,VC_US_S_ROLES,Search,,,Daily,Maximize Clicks,Google Search,,,Presence,,,Social_Media_VA_PH,,,hire social media virtual assistant,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Social/Marketing VA expansion 2026-08-19 · NEW paused AG · do not edit Social_Media_Hire_PH or Digital_Marketing_Hire_PH · Final URL = live category LP (preview slug not an Ads destination)
496-715-1855,Keyword,VC_US_S_ROLES,Search,,,Daily,Maximize Clicks,Google Search,,,Presence,,,Social_Media_VA_PH,,,hire social media va,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Social/Marketing VA expansion 2026-08-19 · NEW paused AG · do not edit Social_Media_Hire_PH or Digital_Marketing_Hire_PH · Final URL = live category LP (preview slug not an Ads destination)
496-715-1855,Keyword,VC_US_S_ROLES,Search,,,Daily,Maximize Clicks,Google Search,,,Presence,,,Social_Media_VA_PH,,,virtual assistant for social media,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Social/Marketing VA expansion 2026-08-19 · NEW paused AG · do not edit Social_Media_Hire_PH or Digital_Marketing_Hire_PH · Final URL = live category LP (preview slug not an Ads destination)
496-715-1855,Keyword,VC_US_S_ROLES,Search,,,Daily,Maximize Clicks,Google Search,,,Presence,,,Social_Media_VA_PH,,,virtual assistant social media,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Social/Marketing VA expansion 2026-08-19 · NEW paused AG · do not edit Social_Media_Hire_PH or Digital_Marketing_Hire_PH · Final URL = live category LP (preview slug not an Ads destination)
496-715-1855,Keyword,VC_US_S_ROLES,Search,,,Daily,Maximize Clicks,Google Search,,,Presence,,,Social_Media_VA_PH,,,virtual social media assistant,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Social/Marketing VA expansion 2026-08-19 · NEW paused AG · do not edit Social_Media_Hire_PH or Digital_Marketing_Hire_PH · Final URL = live category LP (preview slug not an Ads destination)
496-715-1855,Keyword,VC_US_S_ROLES,Search,,,Daily,Maximize Clicks,Google Search,,,Presence,,,Social_Media_VA_PH,,,social media management virtual assistant,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Social/Marketing VA expansion 2026-08-19 · NEW paused AG · do not edit Social_Media_Hire_PH or Digital_Marketing_Hire_PH · Final URL = live category LP (preview slug not an Ads destination)
496-715-1855,Keyword,VC_US_S_ROLES,Search,,,Daily,Maximize Clicks,Google Search,,,Presence,,,Social_Media_VA_PH,,,social media marketing virtual assistant,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Social/Marketing VA expansion 2026-08-19 · NEW paused AG · do not edit Social_Media_Hire_PH or Digital_Marketing_Hire_PH · Final URL = live category LP (preview slug not an Ads destination)
